time_s,V_load_V,I_mA,P_mW,UVA,UVB,UVC
0.00,-0.000,-0.0,0.0,2.656,2.953,1.297
0.17,-0.000,0.0,0.0,2.656,2.953,1.297
0.34,0.000,0.0,0.0,2.656,2.953,1.297
0.51,0.000,-0.0,0.0,2.656,2.953,1.297
0.68,-0.000,0.0,0.0,2.656,2.953,1.297
0.85,0.000,0.0,0.0,2.656,2.953,1.297
1.01,0.000,0.0,0.0,2.656,2.953,1.297
1.18,-0.000,-0.0,0.0,2.656,2.953,1.297
1.35,0.000,0.0,0.0,2.656,2.953,1.297
1.52,0.000,-0.0,0.0,2.656,2.953,1.297
1.69,0.000,0.0,0.0,2.656,2.953,1.297
1.86,0.000,-0.0,0.0,2.656,2.953,1.297
2.03,0.000,0.0,0.0,2.656,2.953,1.297
2.20,0.000,-0.0,0.0,2.656,2.953,1.297
2.37,-0.000,-0.1,0.0,2.656,2.953,1.297
2.54,-0.000,-0.0,0.0,2.656,2.953,1.297
2.71,0.000,0.0,0.0,2.656,2.953,1.297
2.88,0.000,-0.0,0.0,2.656,2.953,1.297
3.05,0.000,-0.0,0.0,2.656,2.953,1.297
3.22,0.000,0.0,0.0,2.656,2.953,1.297
3.39,-0.000,0.0,0.0,2.656,2.953,1.297
3.56,0.000,-0.0,0.0,2.656,2.953,1.297
3.72,-0.000,0.0,0.0,2.656,2.953,1.297
3.89,0.000,-0.1,0.0,2.656,2.953,1.297
4.06,0.000,-0.0,0.0,2.656,2.953,1.297
4.23,-0.000,-0.0,0.0,2.656,2.953,1.297
4.40,-0.000,0.0,0.0,2.656,2.953,1.297
4.57,0.000,0.0,0.0,2.656,2.953,1.297
4.74,-0.000,0.0,0.0,2.656,2.953,1.297
4.91,0.000,-0.0,0.0,2.656,2.953,1.297
5.08,-0.000,0.0,0.0,2.656,2.953,1.297
5.25,0.000,0.0,0.0,2.656,2.953,1.297
5.42,-0.000,0.0,0.0,2.656,2.953,1.297
5.59,0.000,0.0,0.0,2.656,2.953,1.297
5.75,-0.000,0.0,0.0,2.656,2.953,1.297
5.92,0.000,0.0,0.0,2.656,2.953,1.297
6.09,0.000,-0.0,0.0,2.656,2.953,1.297
6.26,-0.000,-0.0,0.0,2.656,2.953,1.297
6.43,0.000,0.0,0.0,2.656,2.953,1.297
6.60,0.000,0.0,0.0,2.656,2.953,1.297
6.77,-0.000,-0.0,0.0,2.656,2.953,1.297
6.94,-0.000,0.0,0.0,2.656,2.953,1.297
7.11,-0.000,-0.1,0.0,2.656,2.953,1.297
7.28,-0.000,-0.1,0.0,2.656,2.953,1.297
7.45,-0.000,-0.0,0.0,2.656,2.953,1.297
7.61,0.000,-0.0,0.0,2.656,2.953,1.297
7.78,0.000,-0.0,0.0,2.656,2.953,1.297
7.95,0.000,0.0,0.0,2.656,2.953,1.297
8.12,-0.000,-0.0,0.0,2.656,2.953,1.297
8.29,0.000,-0.0,0.0,2.656,2.953,1.297
8.46,0.000,-0.0,0.0,2.656,2.953,1.297
8.63,-0.000,-0.1,0.0,2.656,2.953,1.297
8.80,0.000,-0.0,0.0,2.656,2.953,1.297
8.97,-0.000,-0.0,0.0,2.656,2.953,1.297
9.14,0.000,-0.0,0.0,2.656,2.953,1.297
9.31,-0.000,-0.0,0.0,2.656,2.953,1.297
9.48,-0.000,-0.0,0.0,2.656,2.953,1.297
9.65,-0.000,-0.0,0.0,2.656,2.953,1.297
