time_s,V_load_V,I_mA,P_mW,UVA,UVB,UVC
0.00,0.005,0.1,0.0,5.312,2.953,1.297
0.17,0.004,0.1,0.0,5.312,2.953,1.297
0.34,0.007,0.1,0.0,5.312,2.953,1.297
0.51,0.005,0.1,0.0,5.312,2.953,1.297
0.68,0.005,0.1,0.0,5.312,2.953,1.297
0.84,0.005,0.2,0.0,5.312,2.953,1.297
1.01,0.004,0.1,0.0,5.312,2.953,1.297
1.18,0.005,0.1,0.0,5.312,2.953,1.297
1.35,0.005,0.1,0.0,5.312,2.953,1.297
1.52,0.004,0.1,0.0,5.312,2.953,1.297
1.69,0.004,0.1,0.0,5.312,2.953,1.297
1.86,0.004,0.1,0.0,5.312,2.953,1.297
2.02,0.004,0.1,0.0,5.312,2.953,1.297
2.20,0.004,0.1,0.0,5.312,2.953,1.297
2.37,0.005,0.1,0.0,5.312,2.953,1.297
2.54,0.004,0.1,0.0,5.312,2.953,1.297
2.70,0.004,0.1,0.0,5.312,2.953,1.297
2.87,0.004,0.1,0.0,5.312,2.953,1.297
3.04,0.005,0.1,0.0,5.312,2.953,1.297
3.21,0.004,0.1,0.0,5.312,2.953,1.297
3.38,0.005,0.1,0.0,5.312,2.953,1.297
3.55,0.004,0.1,0.0,5.312,2.953,1.297
3.72,0.004,0.1,0.0,5.312,2.953,1.297
3.89,0.005,0.1,0.0,5.312,2.953,1.297
4.06,0.004,0.1,0.0,5.312,2.953,1.297
4.22,0.004,0.1,0.0,5.312,2.953,1.297
4.40,0.004,0.1,0.0,5.312,2.953,1.297
4.57,0.004,0.1,0.0,5.312,2.953,1.297
4.73,0.004,0.1,0.0,5.312,2.953,1.297
4.90,0.004,0.1,0.0,5.312,2.953,1.297
5.07,0.004,0.1,0.0,5.312,2.953,1.297
5.24,0.005,0.1,0.0,5.312,2.953,1.297
5.41,0.005,0.1,0.0,5.312,2.953,1.297
5.58,0.004,0.1,0.0,5.312,2.953,1.297
5.75,0.004,0.1,0.0,5.312,2.953,1.297
5.92,0.004,0.1,0.0,5.312,2.953,1.297
6.09,0.004,0.1,0.0,5.312,2.953,1.297
6.26,0.004,0.1,0.0,5.312,2.953,1.297
6.42,0.005,0.1,0.0,5.312,2.953,1.297
6.59,0.004,0.1,0.0,5.312,2.953,1.297
6.76,0.004,0.1,0.0,5.312,2.953,1.297
6.93,0.004,0.1,0.0,5.312,2.953,1.297
7.10,0.004,0.1,0.0,5.312,2.953,1.297
7.27,0.004,0.1,0.0,5.312,2.953,1.297
7.44,0.004,0.1,0.0,5.312,2.953,1.297
7.61,0.004,0.1,0.0,5.312,2.953,1.297
7.78,0.005,0.1,0.0,5.312,2.953,1.297
7.95,0.004,0.1,0.0,5.312,2.953,1.297
8.12,0.004,0.1,0.0,5.312,2.953,1.297
8.28,0.004,0.1,0.0,5.312,2.953,1.297
8.45,0.004,0.1,0.0,5.312,2.953,1.297
8.62,0.004,0.1,0.0,5.312,2.953,1.297
8.79,0.004,0.1,0.0,5.312,2.953,1.297
8.96,0.004,0.1,0.0,5.312,2.953,1.297
9.13,0.004,0.1,0.0,5.312,2.953,1.297
9.30,0.004,0.1,0.0,5.312,2.953,1.297
9.47,0.004,0.1,0.0,5.312,2.953,1.297
9.64,0.004,0.1,0.0,5.312,2.953,1.297
9.81,0.004,0.1,0.0,5.312,2.953,1.297
9.98,0.004,0.1,0.0,5.312,2.953,1.297
