time_s,V_load_V,I_mA,P_mW,UVA,UVB,UVC
0.00,-0.000,-0.1,0.0,2.656,2.953,1.297
0.17,-0.000,0.0,0.0,2.656,2.953,1.297
0.34,0.000,-0.1,0.0,2.656,2.953,1.297
0.51,-0.000,0.0,0.0,2.656,2.953,1.297
0.68,-0.000,-0.0,0.0,2.656,2.953,1.297
0.85,0.000,0.0,0.0,2.656,2.953,1.297
1.01,0.000,-0.0,0.0,2.656,2.953,1.297
1.18,-0.000,0.0,0.0,2.656,2.953,1.297
1.35,0.000,0.0,0.0,2.656,2.953,1.297
1.52,-0.000,-0.1,0.0,2.656,2.953,1.297
1.69,-0.000,-0.1,0.0,2.656,2.953,1.297
1.86,-0.000,0.0,0.0,2.656,2.953,1.297
2.03,-0.000,-0.0,0.0,2.656,2.953,1.297
2.20,-0.000,0.0,0.0,2.656,2.953,1.297
2.37,-0.000,-0.0,0.0,2.656,2.953,1.297
2.54,-0.000,0.0,0.0,2.656,2.953,1.297
2.71,-0.000,0.0,0.0,2.656,2.953,1.297
2.88,-0.000,-0.1,0.0,2.656,2.953,1.297
3.05,0.000,0.0,0.0,2.656,2.953,1.297
3.22,-0.000,-0.0,0.0,2.656,2.953,1.297
3.39,-0.000,-0.1,0.0,2.656,2.953,1.297
3.56,0.000,0.0,0.0,2.656,2.953,1.297
3.72,0.000,-0.0,0.0,2.656,2.953,1.297
3.89,-0.000,0.0,0.0,2.656,2.953,1.297
4.06,-0.000,0.0,0.0,2.656,2.953,1.297
4.23,-0.000,0.0,0.0,2.656,2.953,1.297
4.40,0.000,-0.0,0.0,2.656,2.953,1.297
4.57,-0.000,-0.0,0.0,2.656,2.953,1.297
4.74,-0.000,-0.0,0.0,2.656,2.953,1.297
4.91,-0.000,0.0,0.0,2.656,2.953,1.297
5.08,-0.000,-0.1,0.0,2.656,2.953,1.297
5.25,-0.000,-0.1,0.0,2.656,2.953,1.297
5.42,-0.000,-0.1,0.0,2.656,2.953,1.297
5.59,-0.000,-0.1,0.0,2.656,2.953,1.297
5.75,-0.000,-0.0,0.0,2.656,2.953,1.297
5.92,-0.000,-0.1,0.0,2.656,2.953,1.297
6.09,-0.000,-0.1,0.0,2.656,2.953,1.297
6.26,-0.000,-0.0,0.0,2.656,2.953,1.297
6.43,0.000,-0.1,0.0,2.656,2.953,1.297
6.60,-0.000,-0.1,0.0,2.656,2.953,1.297
6.77,-0.000,0.0,0.0,2.656,2.953,1.297
6.94,0.000,-0.0,0.0,2.656,2.953,1.297
7.11,-0.000,-0.1,0.0,2.656,2.953,1.297
7.28,-0.000,-0.0,0.0,2.656,2.953,1.297
7.44,-0.000,-0.0,0.0,2.656,2.953,1.297
7.61,-0.000,-0.1,0.0,2.656,2.953,1.297
7.78,-0.000,-0.0,0.0,2.656,2.953,1.297
7.95,-0.000,-0.1,0.0,2.656,2.953,1.297
8.12,-0.000,-0.0,0.0,2.656,2.953,1.297
8.29,0.000,-0.0,0.0,2.656,2.953,1.297
8.46,0.000,-0.1,0.0,2.656,2.953,1.297
8.63,0.000,-0.1,0.0,2.656,2.953,1.297
8.80,0.000,0.0,0.0,2.656,2.953,1.297
8.97,0.004,0.2,0.0,2.656,2.953,1.297
9.14,0.008,0.2,0.0,7.969,2.953,1.297
9.31,0.005,0.2,0.0,13.281,2.953,1.297
9.47,0.004,0.2,0.0,21.250,2.953,1.297
9.64,0.004,0.2,0.0,21.250,2.953,1.297
9.81,0.004,0.1,0.0,21.250,2.953,1.297
9.98,0.004,0.1,0.0,21.250,2.953,1.297
10.15,0.004,0.2,0.0,18.594,2.953,1.297
10.32,0.008,0.2,0.0,13.281,2.953,1.297
10.49,0.015,0.3,0.0,7.969,2.953,1.297
10.66,0.020,0.3,0.0,2.656,2.953,1.297
10.83,0.024,0.4,0.0,2.656,2.953,1.297
11.00,0.028,0.4,0.0,2.656,2.953,1.297
11.17,0.031,0.4,0.0,2.656,2.953,1.297
11.34,0.028,0.4,0.0,2.656,2.953,1.297
11.50,0.028,0.4,0.0,2.656,2.953,1.297
11.67,0.028,0.4,0.0,2.656,2.953,1.297
11.84,0.028,0.4,0.0,2.656,2.953,1.297
12.01,0.024,0.4,0.0,2.656,2.953,1.297
12.18,0.023,0.3,0.0,2.656,2.953,1.297
12.35,0.016,0.3,0.0,2.656,2.953,1.297
12.52,0.012,0.2,0.0,2.656,2.953,1.297
12.69,0.008,0.2,0.0,5.312,2.953,1.297
12.86,0.005,0.2,0.0,5.312,2.953,1.297
13.02,0.004,0.1,0.0,7.969,2.953,1.297
13.20,0.003,0.2,0.0,10.625,2.953,1.297
13.36,0.003,0.2,0.0,15.938,2.953,1.297
13.53,0.008,0.2,0.0,18.594,2.953,1.297
13.70,0.021,0.3,0.0,23.906,2.953,1.297
13.87,0.033,0.4,0.0,37.188,2.953,1.297
14.04,0.032,0.5,0.0,39.844,2.953,1.297
14.21,0.032,0.5,0.0,55.781,2.953,1.297
14.38,0.040,0.5,0.0,50.469,2.953,1.297
14.55,0.044,0.6,0.0,58.437,2.953,1.297
14.72,0.052,0.7,0.0,79.687,2.953,1.297
14.89,0.064,0.8,0.1,74.375,2.953,1.297
15.06,0.064,0.8,0.1,39.844,2.953,1.297
15.22,0.076,0.9,0.1,34.531,2.953,1.297
15.40,0.080,0.9,0.1,18.594,2.953,1.297
15.56,0.084,1.0,0.1,15.938,2.953,1.297
15.73,0.087,1.0,0.1,37.188,2.953,1.297
15.90,0.104,1.2,0.1,34.531,2.953,1.297
16.07,0.093,1.1,0.1,21.250,2.953,1.297
16.24,0.100,1.1,0.1,21.250,2.953,1.297
16.41,0.104,1.2,0.1,21.250,2.953,1.297
16.58,0.103,1.2,0.1,23.906,2.953,1.297
16.75,0.108,1.2,0.1,37.188,2.953,1.297
16.92,0.108,1.2,0.1,71.719,2.953,1.297
17.08,0.103,1.2,0.1,130.156,2.953,1.297
17.25,0.107,1.2,0.1,196.562,5.906,2.594
17.42,0.116,1.3,0.2,225.781,5.906,2.594
17.59,0.120,1.3,0.2,225.781,5.906,2.594
17.76,0.115,1.3,0.1,231.094,5.906,2.594
17.93,0.120,1.3,0.2,252.344,5.906,2.594
18.10,0.124,1.4,0.2,281.563,5.906,2.594
18.27,0.132,1.5,0.2,313.437,5.906,2.594
18.44,0.140,1.5,0.2,329.375,5.906,2.594
18.61,0.154,1.7,0.3,329.375,5.906,2.594
18.78,0.176,1.9,0.3,462.187,8.859,3.891
18.96,0.223,2.4,0.5,467.500,8.859,3.891
19.14,0.311,3.3,1.0,326.719,8.859,2.594
19.31,1.151,11.6,13.4,432.969,8.859,3.891
19.48,3.154,32.0,101.1,451.562,8.859,3.891
19.65,3.541,35.8,126.8,494.062,8.859,3.891
19.82,3.536,35.8,126.5,504.687,8.859,3.891
19.98,3.496,35.3,123.4,486.094,8.859,3.891
20.15,3.597,36.3,130.7,470.156,8.859,3.891
20.32,3.568,36.1,128.8,480.781,8.859,3.891
20.49,3.478,35.2,122.4,475.469,8.859,3.891
20.66,3.496,35.4,123.7,486.094,8.859,3.891
20.83,3.560,36.0,128.3,486.094,8.859,3.891
21.00,3.469,35.1,121.8,486.094,8.859,3.891
21.17,3.413,34.5,117.7,494.062,8.859,3.891
21.34,3.465,35.0,121.3,483.437,8.859,3.891
21.51,3.582,36.3,130.0,494.062,8.859,3.891
21.68,3.361,34.1,114.7,488.750,8.859,3.891
21.84,3.417,34.6,118.2,488.750,8.859,3.891
22.01,3.435,34.8,119.6,486.094,8.859,3.891
22.18,3.429,34.7,119.1,483.437,8.859,3.891
22.35,3.429,34.7,119.1,486.094,8.859,3.891
22.52,3.457,35.0,120.9,488.750,8.859,3.891
22.69,3.470,35.1,121.9,494.062,8.859,3.891
22.86,3.423,34.7,118.7,494.062,8.859,3.891
23.03,3.355,34.0,114.0,494.062,8.859,3.891
23.20,3.317,33.6,111.4,494.062,8.859,3.891
23.37,2.991,30.0,89.9,494.062,8.859,3.891
23.54,1.647,16.8,27.7,494.062,8.859,3.891
23.71,1.715,17.4,29.9,499.375,8.859,3.891
23.87,1.962,20.0,39.2,494.062,8.859,3.891
24.04,2.448,24.9,61.1,494.062,8.859,3.891
24.21,3.123,31.7,99.0,494.062,8.859,3.891
24.38,3.345,33.8,113.2,494.062,8.859,3.891
24.55,3.357,34.0,114.1,496.719,8.859,3.891
24.72,2.749,27.9,76.6,488.750,8.859,3.891
24.89,2.911,29.6,86.1,483.437,8.859,3.891
25.06,1.191,11.4,16.0,483.437,8.859,3.891
25.23,3.170,32.2,102.1,467.500,8.859,3.891
25.40,3.226,32.7,105.4,472.813,8.859,3.891
25.57,3.178,32.2,102.2,472.813,8.859,3.891
