time_s,V_load_V,I_mA,P_mW,UVA,UVB,UVC
0.00,0.304,3.2,1.0,385.156,2.953,3.891
0.17,0.312,3.2,1.0,377.187,2.953,3.891
0.34,0.334,3.5,1.2,403.750,2.953,3.891
0.51,0.399,4.1,1.6,443.594,5.906,3.891
0.68,0.458,4.7,2.2,448.906,5.906,3.891
0.85,0.482,4.9,2.4,382.500,5.906,3.891
1.01,0.424,4.4,1.9,318.750,5.906,2.594
1.18,0.387,4.0,1.5,265.625,5.906,2.594
1.35,0.376,3.9,1.5,228.438,5.906,2.594
1.52,0.376,3.9,1.5,209.844,5.906,2.594
1.69,0.380,4.0,1.5,201.875,5.906,2.594
1.86,0.386,4.0,1.5,204.531,5.906,2.594
2.03,0.388,4.0,1.6,212.500,5.906,2.594
2.20,0.388,4.0,1.6,220.469,5.906,2.594
2.37,0.388,4.0,1.6,225.781,5.906,2.594
2.54,0.382,4.0,1.5,228.438,5.906,2.594
2.70,0.376,3.9,1.5,223.125,5.906,2.594
2.87,0.376,3.9,1.5,220.469,5.906,2.594
3.04,0.380,3.9,1.5,223.125,5.906,2.594
3.21,0.387,4.0,1.5,223.125,2.953,2.594
3.38,0.388,4.0,1.6,215.156,5.906,2.594
3.55,0.384,3.9,1.5,196.562,2.953,2.594
3.72,0.372,3.9,1.4,162.031,2.953,2.594
3.89,0.358,3.7,1.3,106.250,2.953,2.594
4.06,0.339,3.5,1.2,61.094,2.953,2.594
4.23,0.291,3.0,0.9,34.531,2.953,1.297
4.40,0.246,2.6,0.6,18.594,2.953,1.297
4.57,0.196,2.1,0.4,15.938,2.953,1.297
4.74,0.184,1.9,0.3,13.281,2.953,1.297
4.90,0.180,1.9,0.3,5.312,2.953,1.297
5.07,0.192,2.0,0.4,2.656,2.953,1.297
5.24,0.196,2.1,0.4,2.656,2.953,1.297
5.41,0.198,2.1,0.4,2.656,2.953,1.297
5.58,0.194,2.1,0.4,2.656,2.953,1.297
5.75,0.192,2.0,0.4,2.656,2.953,1.297
5.92,0.208,2.2,0.5,7.969,2.953,1.297
6.09,0.212,2.2,0.5,31.875,2.953,1.297
6.26,0.208,2.2,0.5,108.906,2.953,2.594
6.43,0.204,2.1,0.4,146.094,2.953,2.594
6.60,0.222,2.4,0.5,172.656,2.953,2.594
6.76,0.290,3.0,0.9,207.187,2.953,2.594
6.93,0.320,3.3,1.1,300.156,2.953,2.594
7.10,0.327,3.4,1.1,347.969,2.953,2.594
7.27,0.339,3.5,1.2,366.562,2.953,2.594
7.44,0.338,3.5,1.2,369.219,2.953,2.594
7.61,0.334,3.5,1.2,369.219,2.953,2.594
7.78,0.320,3.3,1.1,358.594,2.953,2.594
7.95,0.306,3.2,1.0,332.031,2.953,2.594
8.12,0.284,3.0,0.8,297.500,2.953,2.594
8.29,0.266,2.8,0.7,244.375,2.953,2.594
8.45,0.220,2.3,0.5,225.781,2.953,2.594
8.63,0.212,2.2,0.5,225.781,2.953,2.594
8.80,0.220,2.3,0.5,220.469,2.953,2.594
8.96,0.230,2.4,0.6,217.812,2.953,2.594
9.13,0.231,2.4,0.6,215.156,2.953,2.594
9.30,0.228,2.4,0.5,215.156,2.953,2.594
9.47,0.232,2.4,0.6,209.844,2.953,2.594
9.64,0.231,2.4,0.6,204.531,2.953,2.594
9.81,0.231,2.4,0.6,201.875,2.953,2.594
9.98,0.228,2.4,0.5,204.531,2.953,2.594
10.15,0.224,2.4,0.5,207.187,2.953,2.594
10.32,0.224,2.4,0.5,201.875,2.953,2.594
10.48,0.224,2.4,0.5,204.531,2.953,2.594
10.65,0.224,2.4,0.5,201.875,2.953,2.594
10.82,0.220,2.3,0.5,204.531,2.953,2.594
10.99,0.220,2.3,0.5,212.500,2.953,2.594
11.16,0.220,2.3,0.5,209.844,2.953,2.594
11.33,0.220,2.3,0.5,209.844,2.953,2.594
11.50,0.223,2.4,0.5,207.187,2.953,2.594
11.67,0.230,2.4,0.6,201.875,2.953,2.594
11.84,0.247,2.6,0.6,199.219,2.953,2.594
12.01,0.278,2.9,0.8,199.219,2.953,2.594
12.18,0.311,3.2,1.0,215.156,2.953,2.594
12.35,0.331,3.4,1.1,249.687,2.953,2.594
12.52,0.342,3.5,1.2,276.250,2.953,2.594
12.68,0.348,3.7,1.3,286.875,2.953,2.594
12.85,0.352,3.6,1.3,281.563,2.953,2.594
13.02,0.352,3.6,1.3,273.594,2.953,2.594
13.19,0.352,3.7,1.3,273.594,2.953,2.594
13.36,0.355,3.7,1.3,268.281,2.953,2.594
13.53,0.356,3.7,1.3,276.250,2.953,2.594
13.70,0.356,3.7,1.3,294.844,2.953,2.594
13.87,0.352,3.6,1.3,308.125,2.953,2.594
14.04,0.354,3.7,1.3,316.094,2.953,2.594
14.21,0.352,3.6,1.3,310.781,2.953,2.594
14.38,0.348,3.6,1.3,294.844,2.953,2.594
14.55,0.343,3.6,1.2,257.656,2.953,2.594
14.71,0.334,3.5,1.2,207.187,2.953,2.594
14.88,0.315,3.3,1.0,151.406,2.953,2.594
15.05,0.271,2.8,0.8,114.219,2.953,2.594
15.22,0.200,2.1,0.4,79.687,2.953,2.594
15.39,0.230,2.4,0.6,23.906,2.953,1.297
15.56,0.103,1.1,0.1,10.625,2.953,1.297
15.73,0.089,1.0,0.1,5.312,2.953,1.297
15.90,0.080,0.9,0.1,2.656,2.953,1.297
16.07,0.071,0.9,0.1,2.656,2.953,1.297
16.24,0.060,0.7,0.0,2.656,2.953,1.297
16.41,0.056,0.6,0.0,2.656,2.953,1.297
16.57,0.048,0.6,0.0,2.656,2.953,1.297
16.74,0.041,0.5,0.0,2.656,2.953,1.297
16.91,0.040,0.6,0.0,2.656,2.953,1.297
17.08,0.043,0.5,0.0,2.656,2.953,1.297
17.25,0.040,0.5,0.0,2.656,2.953,1.297
17.42,0.039,0.5,0.0,2.656,2.953,1.297
17.59,0.033,0.5,0.0,2.656,2.953,1.297
17.76,0.032,0.4,0.0,2.656,2.953,1.297
17.92,0.032,0.5,0.0,2.656,2.953,1.297
18.09,0.029,0.4,0.0,2.656,2.953,1.297
18.26,0.032,0.4,0.0,2.656,2.953,1.297
18.43,0.032,0.4,0.0,2.656,2.953,1.297
18.60,0.035,0.5,0.0,2.656,2.953,1.297
18.76,0.037,0.5,0.0,2.656,2.953,1.297
18.93,0.047,0.6,0.0,2.656,2.953,1.297
19.10,0.044,0.5,0.0,2.656,2.953,1.297
19.27,0.047,0.6,0.0,2.656,2.953,1.297
19.44,0.052,0.6,0.0,2.656,2.953,1.297
19.61,0.056,0.7,0.0,2.656,2.953,1.297
19.78,0.061,0.7,0.0,2.656,2.953,1.297
19.95,0.064,0.7,0.0,2.656,2.953,1.297
20.12,0.060,0.7,0.0,2.656,2.953,1.297
20.29,0.060,0.7,0.0,2.656,2.953,1.297
20.46,0.060,0.7,0.0,2.656,2.953,1.297
20.62,0.061,0.7,0.0,2.656,2.953,1.297
20.79,0.060,0.7,0.0,2.656,2.953,1.297
20.96,0.063,0.7,0.0,2.656,2.953,1.297
21.13,0.064,0.7,0.0,2.656,2.953,1.297
21.30,0.068,0.8,0.1,2.656,2.953,1.297
21.47,0.068,0.8,0.1,2.656,2.953,1.297
21.64,0.071,0.8,0.1,2.656,2.953,1.297
21.81,0.068,0.8,0.1,2.656,2.953,1.297
21.98,0.061,0.7,0.0,2.656,2.953,1.297
22.15,0.052,0.6,0.0,2.656,2.953,1.297
22.32,0.044,0.6,0.0,2.656,2.953,1.297
22.49,0.040,0.5,0.0,2.656,2.953,1.297
22.66,0.037,0.5,0.0,2.656,2.953,1.297
22.83,0.044,0.6,0.0,2.656,2.953,1.297
22.99,0.052,0.6,0.0,2.656,2.953,1.297
23.16,0.060,0.7,0.0,2.656,2.953,1.297
23.33,0.068,0.8,0.1,2.656,2.953,1.297
23.50,0.068,0.8,0.1,2.656,2.953,1.297
23.67,0.067,0.8,0.1,2.656,2.953,1.297
23.84,0.064,0.7,0.0,2.656,2.953,1.297
24.01,0.063,0.7,0.0,2.656,2.953,1.297
24.18,0.064,0.7,0.0,2.656,2.953,1.297
24.35,0.065,0.8,0.1,2.656,2.953,1.297
24.52,0.067,0.8,0.1,2.656,2.953,1.297
24.69,0.064,0.8,0.1,2.656,2.953,1.297
24.85,0.064,0.7,0.0,2.656,2.953,1.297
25.02,0.060,0.7,0.0,2.656,2.953,1.297
25.19,0.059,0.7,0.0,2.656,2.953,1.297
25.36,0.056,0.6,0.0,2.656,2.953,1.297
25.53,0.052,0.6,0.0,2.656,2.953,1.297
25.70,0.048,0.6,0.0,2.656,2.953,1.297
25.87,0.048,0.6,0.0,2.656,2.953,1.297
26.04,0.052,0.7,0.0,2.656,2.953,1.297
26.21,0.060,0.7,0.0,2.656,2.953,1.297
26.38,0.069,0.8,0.1,2.656,2.953,1.297
26.55,0.080,0.9,0.1,2.656,2.953,1.297
26.72,0.107,1.1,0.1,10.625,2.953,1.297
26.89,0.207,2.2,0.5,39.844,2.953,1.297
27.05,0.243,2.5,0.6,103.594,2.953,2.594
27.22,0.224,2.4,0.5,122.188,2.953,2.594
27.39,0.214,2.3,0.5,132.812,2.953,2.594
27.56,0.215,2.2,0.5,138.125,2.953,2.594
27.73,0.215,2.2,0.5,130.156,2.953,2.594
27.90,0.212,2.2,0.5,119.531,2.953,2.594
28.07,0.208,2.2,0.5,108.906,2.953,2.594
28.24,0.208,2.2,0.5,100.937,2.953,2.594
28.41,0.204,2.2,0.4,92.969,2.953,2.594
28.58,0.204,2.2,0.4,82.344,2.953,2.594
28.75,0.203,2.2,0.4,77.031,2.953,2.594
28.92,0.204,2.2,0.4,77.031,2.953,2.594
29.08,0.204,2.1,0.4,77.031,2.953,2.594
29.25,0.206,2.2,0.4,82.344,2.953,2.594
29.42,0.208,2.2,0.5,90.312,2.953,2.594
29.59,0.216,2.3,0.5,103.594,2.953,2.594
29.76,0.220,2.3,0.5,108.906,2.953,2.594
29.93,0.223,2.3,0.5,108.906,2.953,2.594
30.10,0.224,2.4,0.5,111.563,2.953,2.594
30.27,0.222,2.4,0.5,111.563,2.953,2.594
30.44,0.214,2.2,0.5,100.937,2.953,2.594
30.61,0.207,2.2,0.5,95.625,2.953,2.594
30.78,0.206,2.2,0.5,92.969,2.953,2.594
30.94,0.208,2.2,0.5,95.625,2.953,2.594
31.11,0.208,2.2,0.5,95.625,2.953,2.594
31.28,0.204,2.2,0.4,92.969,2.953,2.594
31.45,0.204,2.1,0.4,87.656,2.953,2.594
31.62,0.204,2.1,0.4,82.344,2.953,2.594
31.79,0.230,2.4,0.6,82.344,2.953,2.594
31.96,0.248,2.6,0.6,50.469,2.953,1.297
32.13,0.251,2.6,0.7,47.812,2.953,1.297
32.30,0.128,1.4,0.2,47.812,2.953,1.297
32.47,0.124,1.3,0.2,42.500,2.953,1.297
32.64,0.127,1.4,0.2,45.156,2.953,1.297
32.81,0.140,1.5,0.2,50.469,2.953,1.297
32.97,0.127,1.3,0.2,47.812,2.953,1.297
33.14,0.124,1.3,0.2,47.812,2.953,1.297
33.31,0.124,1.4,0.2,50.469,2.953,1.297
33.48,0.127,1.4,0.2,53.125,2.953,1.297
33.65,0.127,1.4,0.2,53.125,2.953,1.297
33.82,0.124,1.4,0.2,50.469,2.953,1.297
33.99,0.124,1.3,0.2,50.469,2.953,1.297
34.15,0.125,1.3,0.2,50.469,2.953,1.297
34.32,0.124,1.4,0.2,50.469,2.953,1.297
34.49,0.124,1.3,0.2,50.469,2.953,1.297
34.66,0.125,1.3,0.2,50.469,2.953,1.297
34.83,0.128,1.4,0.2,50.469,2.953,1.297
35.00,0.149,1.6,0.2,55.781,2.953,1.297
35.17,0.132,1.4,0.2,58.437,2.953,1.297
