time_s,V_load_V,I_mA,P_mW,UVA,UVB,UVC
0.00,0.685,7.0,4.8,215.156,11.813,9.078
0.17,0.778,8.0,6.2,215.156,11.813,9.078
0.34,0.769,7.9,6.0,217.812,11.813,9.078
0.51,0.845,8.6,7.3,220.469,11.813,10.375
0.68,0.825,8.4,6.9,220.469,11.813,10.375
0.84,0.878,8.9,7.8,217.812,11.813,10.375
1.01,0.940,9.6,9.0,215.156,11.813,10.375
1.18,0.854,8.7,7.4,220.469,11.813,10.375
1.35,0.866,8.8,7.6,217.812,11.813,10.375
1.52,0.921,9.3,8.6,217.812,11.813,10.375
1.69,0.897,9.1,8.2,217.812,11.813,10.375
1.86,0.885,9.1,8.0,217.812,11.813,10.375
2.03,0.889,9.1,8.1,217.812,11.813,10.375
2.20,0.888,9.0,8.0,215.156,11.813,10.375
2.37,0.885,9.0,8.0,215.156,11.813,10.375
2.54,0.889,9.1,8.1,215.156,11.813,10.375
2.71,0.898,9.2,8.2,215.156,11.813,10.375
2.87,0.886,9.0,8.0,215.156,11.813,10.375
3.04,0.877,8.9,7.8,215.156,11.813,10.375
3.21,0.917,9.3,8.6,212.500,11.813,10.375
3.38,0.878,8.9,7.8,215.156,11.813,10.375
3.55,0.872,8.9,7.8,215.156,11.813,10.375
3.72,0.904,9.2,8.3,215.156,11.813,10.375
3.89,0.861,8.8,7.5,215.156,11.813,10.375
4.06,0.888,9.0,8.0,212.500,11.813,10.375
4.23,0.881,9.0,7.9,212.500,11.813,10.375
4.40,0.885,9.0,8.0,207.187,11.813,10.375
4.57,0.865,8.8,7.6,207.187,11.813,10.375
4.74,0.769,7.8,6.0,207.187,11.813,9.078
4.91,0.814,8.3,6.8,220.469,11.813,10.375
5.07,0.813,8.3,6.8,228.438,11.813,10.375
5.24,0.820,8.4,6.9,231.094,11.813,10.375
5.41,0.829,8.4,7.0,231.094,11.813,10.375
5.58,0.849,8.6,7.3,231.094,11.813,10.375
5.75,0.802,8.2,6.6,231.094,11.813,10.375
5.92,0.749,7.6,5.7,231.094,11.813,10.375
6.09,0.853,8.7,7.4,231.094,11.813,10.375
6.26,0.816,8.3,6.8,231.094,11.813,10.375
6.43,0.865,8.9,7.7,228.438,11.813,10.375
6.60,0.949,9.7,9.2,228.438,11.813,10.375
6.77,0.885,9.1,8.0,247.031,11.813,10.375
6.93,0.826,8.4,6.9,188.594,11.813,10.375
7.10,0.745,7.6,5.7,159.375,11.813,7.781
7.27,0.729,7.5,5.4,154.062,11.813,7.781
7.44,0.737,7.5,5.5,154.062,11.813,7.781
7.61,0.761,7.8,5.9,154.062,11.813,7.781
7.78,1.041,10.6,11.1,154.062,11.813,7.781
7.95,1.192,12.1,14.4,156.719,11.813,9.078
8.12,1.142,11.6,13.3,162.031,11.813,9.078
8.29,1.076,11.0,11.8,162.031,11.813,9.078
8.46,1.073,10.9,11.7,162.031,11.813,9.078
8.63,1.142,11.6,13.3,162.031,11.813,9.078
8.80,1.136,11.6,13.1,154.062,11.813,9.078
8.97,1.159,11.8,13.6,276.250,11.813,11.672
9.13,1.092,11.1,12.1,209.844,5.906,7.781
9.30,1.085,11.0,12.0,82.344,2.953,2.594
9.47,1.106,11.2,12.4,103.594,2.953,2.594
9.64,1.074,10.9,11.7,191.250,5.906,9.078
9.81,1.060,10.8,11.4,302.812,8.859,10.375
9.98,1.090,11.1,12.1,395.781,8.859,11.672
10.15,1.081,11.0,11.9,470.156,11.813,11.672
10.32,0.996,10.1,10.1,345.312,11.813,11.672
10.49,1.038,10.6,11.0,347.969,11.813,11.672
10.66,1.090,11.1,12.1,342.656,11.813,11.672
10.83,1.046,10.6,11.1,334.688,11.813,11.672
10.99,1.072,10.9,11.6,329.375,11.813,11.672
11.16,1.086,11.0,12.0,326.719,11.813,11.672
11.33,1.084,11.0,11.9,321.406,11.813,11.672
11.50,1.061,10.8,11.5,318.750,11.813,11.672
11.67,1.041,10.6,11.0,316.094,11.813,11.672
11.84,1.045,10.7,11.1,313.437,11.813,11.672
12.01,1.060,10.8,11.4,313.437,11.813,11.672
12.18,1.036,10.5,10.9,310.781,11.813,11.672
12.35,1.005,10.2,10.3,310.781,11.813,11.672
12.52,1.006,10.2,10.3,308.125,11.813,11.672
12.69,1.005,10.2,10.3,308.125,11.813,11.672
12.86,0.997,10.1,10.1,305.469,11.813,11.672
13.02,0.992,10.1,10.0,305.469,11.813,11.672
13.19,1.001,10.2,10.2,305.469,11.813,11.672
13.36,0.996,10.1,10.1,305.469,11.813,11.672
13.53,0.973,9.9,9.6,302.812,11.813,11.672
13.70,0.978,9.9,9.7,302.812,11.813,11.672
13.87,0.969,9.9,9.6,300.156,11.813,11.672
14.04,0.981,10.0,9.8,302.812,11.813,11.672
14.21,0.977,9.9,9.7,302.812,11.813,11.672
14.38,0.977,10.0,9.7,302.812,11.813,11.672
14.55,0.976,9.9,9.7,300.156,11.813,11.672
14.72,0.965,9.8,9.5,300.156,11.813,11.672
14.89,0.962,9.8,9.4,300.156,11.813,11.672
15.06,0.965,9.8,9.5,300.156,11.813,11.672
15.22,0.949,9.6,9.1,297.500,11.813,10.375
15.39,0.953,9.7,9.2,297.500,11.813,10.375
15.56,0.948,9.6,9.1,297.500,11.813,10.375
15.73,0.946,9.6,9.1,297.500,11.813,10.375
15.90,0.942,9.6,9.0,297.500,11.813,10.375
16.07,0.936,9.5,8.9,294.844,11.813,10.375
16.24,0.916,9.3,8.5,294.844,11.813,10.375
16.41,0.906,9.2,8.4,292.187,11.813,10.375
16.57,0.888,9.1,8.0,289.531,11.813,10.375
16.74,0.896,9.1,8.2,289.531,11.813,10.375
16.91,0.905,9.2,8.3,289.531,11.813,10.375
17.08,0.917,9.4,8.6,292.187,11.813,10.375
17.25,0.906,9.3,8.4,292.187,11.813,10.375
17.42,0.914,9.3,8.5,292.187,11.813,10.375
17.59,0.913,9.3,8.5,292.187,11.813,10.375
17.76,0.926,9.4,8.7,294.844,11.813,10.375
17.92,0.941,9.6,9.0,292.187,11.813,10.375
18.10,0.944,9.6,9.1,292.187,11.813,10.375
18.26,0.953,9.7,9.2,294.844,11.813,10.375
18.43,0.949,9.7,9.2,292.187,11.813,10.375
18.60,0.976,9.9,9.7,292.187,11.813,10.375
18.77,0.958,9.8,9.4,292.187,11.813,10.375
18.94,0.957,9.8,9.4,292.187,11.813,10.375
19.11,0.956,9.7,9.3,289.531,11.813,10.375
19.28,0.964,9.8,9.4,289.531,11.813,10.375
19.45,0.953,9.7,9.2,286.875,11.813,10.375
19.62,0.965,9.8,9.5,289.531,11.813,10.375
19.79,0.957,9.8,9.4,286.875,11.813,10.375
19.95,0.958,9.8,9.4,286.875,11.813,10.375
20.13,0.957,9.7,9.3,286.875,11.813,10.375
20.30,0.957,9.7,9.3,286.875,11.813,10.375
20.46,0.957,9.7,9.3,286.875,11.813,10.375
20.63,0.957,9.8,9.3,286.875,11.813,10.375
20.80,0.956,9.7,9.3,286.875,11.813,10.375
20.97,0.953,9.7,9.2,284.219,11.813,10.375
21.14,0.950,9.6,9.2,284.219,11.813,10.375
21.31,0.949,9.6,9.1,284.219,11.813,10.375
21.48,0.945,9.6,9.1,284.219,11.813,10.375
21.65,0.950,9.7,9.2,286.875,11.813,10.375
21.82,0.952,9.7,9.2,286.875,11.813,10.375
21.99,0.948,9.6,9.1,284.219,11.813,10.375
22.16,0.946,9.6,9.1,286.875,11.813,10.375
22.33,0.952,9.7,9.2,286.875,11.813,10.375
22.50,0.949,9.6,9.1,286.875,11.813,10.375
22.66,0.949,9.7,9.2,286.875,11.813,10.375
22.83,0.952,9.7,9.2,286.875,11.813,10.375
23.00,0.953,9.7,9.2,286.875,11.813,10.375
23.17,0.945,9.6,9.1,284.219,11.813,10.375
23.34,0.942,9.6,9.0,284.219,11.813,10.375
23.51,0.941,9.6,9.0,284.219,11.813,10.375
23.68,0.942,9.6,9.0,284.219,11.813,10.375
23.85,0.941,9.6,9.0,284.219,11.813,10.375
24.02,0.942,9.6,9.0,284.219,11.813,10.375
24.19,0.941,9.6,9.0,284.219,11.813,10.375
24.36,0.940,9.6,9.0,284.219,11.813,10.375
24.52,0.946,9.7,9.2,284.219,11.813,10.375
24.69,0.945,9.6,9.1,284.219,11.813,10.375
24.86,0.949,9.7,9.2,284.219,11.813,10.375
25.03,0.949,9.7,9.2,284.219,11.813,10.375
25.20,0.957,9.7,9.3,284.219,11.813,10.375
25.37,0.952,9.7,9.2,284.219,11.813,10.375
25.54,0.953,9.7,9.2,284.219,11.813,10.375
25.71,0.952,9.7,9.3,284.219,11.813,10.375
25.88,0.949,9.7,9.2,284.219,11.813,10.375
26.05,0.945,9.6,9.1,284.219,11.813,10.375
26.22,0.940,9.6,9.0,284.219,11.813,10.375
26.39,0.926,9.5,8.8,284.219,11.813,10.375
26.56,0.922,9.4,8.6,284.219,11.813,10.375
26.72,0.929,9.4,8.7,284.219,11.813,10.375
26.89,0.929,9.4,8.7,284.219,11.813,10.375
27.06,0.932,9.5,8.9,284.219,11.813,10.375
27.23,0.928,9.5,8.8,284.219,11.813,10.375
27.40,0.929,9.4,8.8,284.219,11.813,10.375
27.57,0.926,9.4,8.7,284.219,11.813,10.375
27.74,0.933,9.5,8.9,284.219,11.813,10.375
27.91,0.928,9.5,8.8,284.219,11.813,10.375
28.08,0.933,9.5,8.9,284.219,11.813,10.375
28.25,0.924,9.4,8.7,281.563,11.813,10.375
28.42,0.926,9.4,8.7,281.563,11.813,10.375
28.58,0.925,9.4,8.7,281.563,11.813,10.375
28.75,0.925,9.4,8.7,284.219,11.813,10.375
28.92,0.912,9.3,8.5,281.563,11.813,10.375
29.09,0.910,9.2,8.4,281.563,11.813,10.375
29.26,0.914,9.3,8.5,284.219,11.813,10.375
29.43,0.920,9.4,8.6,284.219,11.813,10.375
29.60,0.913,9.3,8.5,284.219,11.813,10.375
29.77,0.906,9.2,8.4,284.219,11.813,10.375
29.94,0.905,9.2,8.4,284.219,11.813,10.375
30.11,0.901,9.2,8.3,281.563,11.813,10.375
30.28,0.916,9.3,8.5,284.219,11.813,10.375
30.45,0.898,9.2,8.2,281.563,11.813,10.375
30.61,0.901,9.2,8.3,284.219,11.813,10.375
30.78,0.908,9.2,8.4,284.219,11.813,10.375
30.95,0.912,9.3,8.5,284.219,11.813,10.375
31.12,0.913,9.3,8.5,284.219,11.813,10.375
31.29,0.913,9.3,8.5,284.219,11.813,10.375
31.46,0.910,9.3,8.4,284.219,11.813,10.375
31.63,0.914,9.3,8.5,284.219,11.813,10.375
31.80,0.916,9.3,8.5,284.219,11.813,10.375
31.97,0.909,9.3,8.4,284.219,11.813,10.375
32.14,0.904,9.2,8.3,281.563,11.813,10.375
32.30,0.896,9.1,8.1,281.563,11.813,10.375
32.47,0.889,9.1,8.1,281.563,11.813,10.375
32.64,0.889,9.0,8.0,281.563,11.813,10.375
32.81,0.889,9.1,8.1,281.563,11.813,10.375
32.98,0.885,9.0,8.0,281.563,11.813,10.375
33.15,0.884,9.0,8.0,278.906,11.813,10.375
33.32,0.886,9.0,8.0,278.906,11.813,10.375
33.48,0.886,9.1,8.0,276.250,11.813,10.375
33.65,0.885,9.0,8.0,276.250,11.813,10.375
33.82,0.885,9.0,8.0,270.937,11.813,10.375
33.99,0.889,9.0,8.0,262.969,11.813,10.375
34.16,0.885,9.0,8.0,265.625,11.813,10.375
34.33,0.885,9.0,8.0,265.625,11.813,10.375
34.50,0.888,9.0,8.0,265.625,11.813,10.375
34.67,0.889,9.0,8.0,265.625,11.813,10.375
34.84,0.885,9.0,8.0,265.625,11.813,10.375
35.01,0.888,9.1,8.0,265.625,11.813,10.375
35.17,0.876,9.0,7.9,265.625,11.813,10.375
35.34,0.873,8.8,7.7,265.625,11.813,10.375
35.51,0.873,8.9,7.7,265.625,11.813,10.375
35.68,0.865,8.8,7.6,265.625,11.813,10.375
35.85,0.881,9.0,7.9,265.625,11.813,10.375
36.02,0.860,8.8,7.5,265.625,11.813,10.375
36.19,0.868,8.8,7.7,265.625,11.813,10.375
36.36,0.857,8.7,7.5,265.625,11.813,10.375
36.53,0.848,8.6,7.3,265.625,11.813,10.375
36.70,0.861,8.8,7.6,265.625,11.813,10.375
36.87,0.861,8.8,7.6,265.625,11.813,10.375
37.03,0.861,8.8,7.6,265.625,11.813,10.375
37.20,0.865,8.8,7.6,265.625,11.813,10.375
37.37,0.870,8.9,7.7,265.625,11.813,10.375
37.54,0.873,8.9,7.7,265.625,11.813,10.375
37.71,0.881,9.0,7.9,265.625,11.813,10.375
37.88,0.880,8.9,7.9,265.625,11.813,10.375
38.05,0.881,9.0,7.9,265.625,11.813,10.375
38.22,0.880,9.0,7.9,265.625,11.813,10.375
38.39,0.876,8.9,7.8,265.625,11.813,10.375
38.56,0.870,8.8,7.7,265.625,11.813,10.375
38.73,0.889,9.0,8.0,268.281,11.813,10.375
